Size,MergeSort,Hybrid5,Hybrid30
500,60,32,19
600,69,42,21
700,88,51,24
800,96,54,26
900,108,66,30
1000,119,64,38
1100,128,73,43
1200,151,96,49
1300,160,100,51
1400,164,102,54
1500,185,116,60
1600,188,114,59
1700,208,123,64
1800,215,133,70
1900,229,127,80
2000,241,135,89
2100,250,145,99
2200,264,171,102
2300,275,167,100
2400,299,194,110
2500,292,189,104
2600,319,217,116
2700,327,226,123
2800,343,216,121
2900,354,225,130
3000,358,225,127
3100,401,236,134
3200,401,248,138
3300,404,241,140
3400,421,252,147
3500,471,264,149
3600,433,255,148
3700,482,267,156
3800,537,450,175
3900,509,298,192
4000,488,285,199
4100,537,289,203
4200,516,326,211
4300,566,313,208
4400,584,357,211
4500,587,342,222
4600,587,400,219
4700,604,390,234
4800,615,385,227
4900,600,399,236
5000,616,414,239
5100,620,423,244
5200,658,461,258
5300,651,442,259
5400,695,490,258
5500,678,480,273
5600,705,460,276
5700,722,500,264
5800,726,496,271
5900,736,466,274
6000,743,538,279
6100,781,521,283
6200,799,532,289
6300,801,534,304
6400,816,502,306
6500,822,523,303
6600,851,512,307
6700,898,521,311
6800,875,525,318
6900,883,557,323
7000,1184,920,326
7100,903,581,336
7200,932,550,334
7300,953,620,344
7400,1026,579,355
7500,955,567,367
7600,956,573,388
7700,981,582,432
7800,997,586,437
7900,1055,599,424
8000,1075,608,432
8100,1051,655,456
8200,1043,678,437
8300,1045,630,584
8400,1073,646,465
8500,1153,729,454
8600,1098,733,472
8700,1135,705,466
8800,1127,698,483
8900,1158,732,493
9000,1382,814,1078
9100,1307,827,543
9200,1217,766,500
9300,1231,789,523
9400,1251,831,562
9500,1297,813,515
9600,1313,891,505
9700,1274,827,528
9800,1258,873,522
9900,1309,874,529
10000,1290,946,540
10100,1387,888,536
10200,1316,911,537
10300,1345,909,557
10400,1353,973,545
10500,1371,950,549
10600,1357,1010,556
10700,1506,1017,585
10800,1434,1157,576
10900,1397,962,576
11000,1461,941,580
11100,1439,955,590
11200,1544,1008,584
11300,1496,1011,624
11400,1461,982,598
11500,1518,1045,627
11600,1566,1018,636
11700,1544,1039,620
11800,1570,1065,637
11900,1643,1142,638
12000,1601,1115,649
12100,1601,1073,653
12200,1625,1083,665
12300,1625,1087,676
12400,1681,1147,686
12500,1782,1127,691
12600,1697,1094,690
12700,1698,1118,708
12800,1709,1134,715
12900,1715,1143,714
13000,1737,1116,706
13100,1876,1132,708
13200,1761,1136,723
13300,1757,1133,717
13400,1816,1152,755
13500,1847,1166,732
13600,1869,1183,735
13700,1830,1180,735
13800,1851,1181,766
13900,1868,1224,762
14000,1879,1203,772
14100,1964,1290,818
14200,1922,1242,790
14300,1893,1182,745
14400,1932,1218,751
14500,1955,1204,764
14600,1922,1227,770
14700,2009,1223,751
14800,2011,1204,757
14900,2027,1231,811
15000,2061,1351,923
15100,2027,1266,855
15200,2047,1308,867
15300,2072,1217,913
15400,2099,1271,1071
15500,2144,1277,959
15600,2140,1294,933
15700,2129,1281,954
15800,2211,1355,941
15900,2300,1300,954
16000,2125,1402,969
16100,2237,1335,964
16200,2194,1308,1002
16300,2226,1422,1006
16400,2256,1417,1010
16500,2274,1455,1012
16600,2264,1437,1036
16700,2237,1399,1012
16800,2319,1432,1031
16900,2350,1474,1035
17000,2287,1515,1031
17100,2318,1526,1129
17200,2323,1468,1044
17300,2330,1477,1056
17400,2363,1560,1060
17500,2529,1527,1207
17600,2456,1529,1074
17700,2436,1589,1089
17800,2424,1588,1081
17900,2429,1633,1125
18000,2472,1626,1088
18100,2513,1626,1117
18200,2532,1690,1098
18300,2570,1668,1123
18400,2482,1644,1163
18500,2533,1693,1213
18600,2531,1677,1117
18700,2628,1723,1128
18800,2586,1757,1130
18900,2570,1751,1132
19000,2566,1746,1134
19100,2663,1879,1215
19200,2619,1820,1158
19300,2698,1840,1162
19400,2621,1873,1161
19500,2817,1845,1165
19600,2669,1877,1219
19700,3010,2004,1251
19800,2951,1940,1223
19900,2708,1898,1198
20000,2820,1984,1263
20100,2834,1992,1233
20200,2794,2016,1242
20300,2821,2037,1220
20400,2884,2020,1233
20500,2792,2058,1260
20600,2842,1973,1236
20700,2817,1969,1283
20800,2873,2005,1266
20900,2941,2062,1283
21000,2890,2010,1271
21100,2963,2021,1266
21200,2988,2054,1294
21300,2932,2153,1341
21400,3011,2117,1309
21500,2944,2146,1366
21600,3035,2118,1381
21700,3010,2079,1313
21800,3101,2072,1320
21900,3007,2089,1356
22000,3147,2158,1359
22100,3093,2097,1369
22200,3071,2127,1378
22300,3112,2171,1399
22400,3123,2139,1386
22500,3203,2152,1424
22600,3203,2144,1418
22700,3214,2151,1368
22800,3214,2179,1374
22900,3158,2148,1379
23000,3608,2439,1563
23100,3250,2212,1425
23200,3258,2222,1405
23300,3272,2198,1420
23400,3359,2349,1420
23500,3217,2244,1432
23600,3272,2240,1435
23700,3308,2272,1482
23800,3248,2216,1427
23900,3296,2250,1436
24000,3319,2397,1442
24100,3370,2267,1446
24200,3403,2346,1481
24300,3377,2362,1452
24400,3364,2261,1465
24500,3367,2237,1447
24600,3461,2359,1484
24700,3449,2312,1468
24800,3413,2396,1504
24900,3476,2769,1479
25000,3496,2411,1486
25100,3473,2358,1504
25200,3579,2326,1536
25300,3479,2452,1496
25400,3487,2348,1554
25500,3605,2348,1544
25600,3508,2472,1512
25700,3615,2371,1517
25800,3627,2387,1562
25900,3570,2397,1526
26000,4093,2520,1584
26100,3682,2465,1557
26200,3737,2465,1628
26300,3740,2531,1618
26400,3698,2408,1632
26500,3738,2450,1658
26600,3788,2423,1622
26700,3834,2406,1573
26800,3888,2453,1577
26900,3908,2506,1653
27000,3803,2496,1632
27100,3797,2468,1631
27200,3987,2494,1642
27300,3863,2528,1661
27400,3902,2574,1697
27500,4080,2817,1713
27600,3885,2554,1651
27700,3920,2611,1695
27800,4070,2572,1715
27900,3944,2621,1714
28000,4007,2585,1707
28100,3994,2603,1848
28200,3993,2563,1702
28300,4022,2608,1724
28400,4183,2738,1815
28500,4219,2641,1789
28600,4122,2538,1703
28700,4184,2800,1809
28800,4017,2601,1781
28900,4103,2657,1725
29000,4069,2674,1734
29100,4100,2697,1744
29200,4124,2668,1755
29300,4235,2746,1818
29400,4808,2695,1766
29500,4162,2817,1842
29600,4186,2740,1796
29700,4261,2736,1922
29800,4292,2747,1891
29900,4266,2714,1862
30000,4274,2723,2802
30100,4318,2767,1894
30200,4322,2755,1979
30300,5540,2784,2009
30400,4402,2727,1990
30500,4413,2913,2099
30600,4379,2774,2116
30700,4389,2773,2086
30800,4402,2815,2131
30900,4458,2918,2240
31000,5703,3458,2283
31100,4529,2886,2144
31200,4440,2827,2108
31300,4418,2816,2130
31400,4473,2975,2122
31500,4578,2929,2156
31600,4479,2876,2172
31700,4550,2860,2167
31800,4632,2981,2220
31900,4457,2857,2301
32000,4479,2798,2136
32100,4551,2830,2179
32200,4540,2936,2142
32300,4560,3013,2169
32400,4549,2913,2181
32500,4545,2950,2210
32600,4641,2988,2218
32700,4650,2999,2236
32800,4602,2915,2166
32900,4707,3006,2206
33000,4591,2929,2252
33100,4767,3024,2286
33200,4635,3045,2238
33300,4786,3076,2417
33400,4801,3026,2265
33500,4862,3212,2352
33600,4716,3052,2362
33700,4849,3043,2269
33800,4789,3157,2235
33900,4873,3126,2283
34000,4777,3094,2322
34100,4803,3181,2290
34200,4876,3208,2263
34300,4929,3178,2288
34400,4846,3181,2326
34500,4854,3189,2484
34600,4882,3189,2279
34700,4862,4432,2427
34800,5042,3268,2321
34900,4999,3249,2321
35000,5044,3372,2305
35100,5185,3274,2342
35200,4977,3352,2293
35300,5236,3396,2328
35400,5118,3353,2411
35500,5219,3494,2323
35600,5064,3419,2368
35700,5976,3412,2416
35800,5014,3404,2455
35900,5318,3652,2595
36000,5083,3474,2403
36100,5298,3483,2399
36200,5338,3514,2442
36300,5411,3708,2532
36400,5201,3474,2382
36500,5430,3597,2407
36600,5135,3494,2442
36700,5255,3593,2458
36800,5260,3521,2445
36900,5309,3530,2486
37000,5337,3646,2561
37100,5509,3676,2474
37200,5357,3673,2497
37300,5576,3706,2579
37400,5369,3703,2683
37500,5489,3715,2525
37600,5322,3630,2508
37700,5480,3765,2505
37800,5335,3710,2570
37900,5890,3923,2563
38000,5398,3771,2496
38100,5553,3734,2548
38200,5672,3907,2555
38300,5591,3918,2582
38400,5544,3861,2508
38500,5493,4018,2833
38600,5546,3947,2568
38700,5612,3956,2556
38800,5604,3932,2599
38900,5588,4019,2578
39000,5714,4053,2541
39100,5770,7249,6144
39200,5754,4053,2592
39300,5771,3946,2677
39400,5674,3982,2608
39500,5778,4023,2986
39600,5809,4189,2632
39700,5806,4136,2615
39800,5657,4157,2591
39900,6522,4165,2723
40000,5765,4046,2651
40100,5737,4074,2699
40200,5815,4108,2729
40300,5865,4182,2677
40400,5772,4027,2819
40500,5788,4114,2635
40600,5749,4077,2714
40700,5769,4209,2720
40800,5805,4100,2638
40900,6305,4245,2679
41000,6080,4367,2865
41100,5893,4265,2844
41200,5865,4282,2769
41300,5880,4254,2823
41400,5946,4347,2766
41500,5913,4263,2804
41600,5970,4221,2734
41700,5993,4288,2709
41800,5902,4188,2735
41900,5934,4365,2769
42000,6105,4311,2802
42100,6057,4289,2783
42200,6051,4384,2806
42300,6146,4399,2909
42400,8237,4356,2804
42500,6344,4426,3914
42600,6324,4533,2921
42700,6167,4312,2842
42800,6186,4533,2876
42900,6186,4433,2816
43000,6191,4375,2871
43100,6280,4262,2826
43200,6279,4456,2881
43300,6250,4540,2886
43400,6181,4427,2911
43500,6292,4422,2907
43600,6334,4443,2917
43700,6409,4619,3013
43800,6338,4481,2998
43900,6427,4682,2968
44000,6363,4532,2950
44100,6416,4465,2930
44200,6343,4539,3034
44300,6473,4511,2888
44400,6396,4721,3057
44500,6529,4493,2919
44600,6425,4568,5364
44700,6357,4570,3093
44800,6463,4605,2989
44900,6422,4534,2951
45000,6622,4580,3026
45100,6543,4645,3089
45200,6523,4570,2984
45300,6623,4584,3132
45400,6572,4599,3042
45500,7834,4624,3094
45600,6498,4587,3040
45700,6608,4602,3024
45800,6584,4585,3036
45900,6566,4624,3014
46000,6630,4769,3077
46100,6649,4670,3028
46200,6792,4844,3131
46300,6649,4684,3148
46400,6822,4743,3123
46500,6767,4792,3141
46600,6722,4720,3126
46700,6921,4682,3122
46800,6901,4798,3063
46900,6968,4818,3238
47000,6732,4672,3134
47100,6808,4923,3127
47200,6889,4728,3130
47300,6832,4841,3145
47400,7085,5247,3110
47500,6925,4716,3260
47600,6965,4777,3129
47700,7033,4802,3104
47800,6840,4753,3095
47900,7013,4790,3150
48000,6854,4804,3130
48100,7036,4889,3157
48200,7085,4872,3195
48300,7042,4945,3210
48400,7019,4960,3231
48500,7011,4799,3242
48600,7373,4929,3240
48700,7364,4957,3189
48800,7014,4813,3182
48900,7019,4846,3180
49000,7151,4903,3232
49100,7016,4824,3199
49200,7313,5248,3293
49300,7203,4869,3200
49400,7187,4992,3370
49500,7169,5004,3306
49600,7148,4882,3236
49700,7304,5084,3276
49800,7213,5399,3255
49900,7276,5032,3318
50000,7211,5092,3314
50100,7282,5078,3253
50200,7287,4983,3312
50300,7490,5165,3388
50400,7466,5070,3311
50500,7761,5173,3314
50600,7232,4974,3284
50700,7353,5131,3311
50800,7373,5133,3356
50900,7348,5013,3291
51000,7319,5109,3395
51100,7474,5079,3314
51200,7642,5119,3334
51300,7354,5217,3281
51400,7660,5140,3406
51500,7477,5023,3347
51600,7473,5257,3387
51700,7499,5230,3367
51800,7419,4990,3354
51900,7728,5042,3401
52000,7733,5179,3427
52100,7511,5078,3363
52200,7496,5164,3417
52300,7600,5194,3534
52400,7717,5191,3460
52500,7658,5275,3410
52600,7743,5303,3549
52700,7745,5286,3527
52800,7663,5193,3541
52900,7763,5180,3597
53000,7824,5390,3642
53100,7791,5218,3472
53200,7860,5333,3548
53300,7896,5103,4096
53400,7995,5405,3574
53500,7885,5232,3462
53600,7850,5336,3652
53700,7981,5225,3542
53800,7700,5392,3689
53900,7797,5201,3454
54000,8837,5828,3600
54100,7755,5200,3491
54200,7735,5196,3471
54300,7822,5158,3555
54400,7983,5322,3503
54500,7935,5506,3529
54600,7938,5287,3493
54700,8193,5434,3663
54800,8040,5333,3524
54900,8108,5472,3546
55000,7980,5457,3698
55100,8046,5437,3552
55200,8128,5521,3553
55300,8131,5487,3622
55400,8147,5548,3584
55500,8022,5364,3731
55600,8319,5412,3650
55700,8074,5312,3646
55800,8153,5387,3630
55900,8122,5503,3601
56000,8285,5339,3620
56100,8238,5692,3734
56200,8170,5519,3736
56300,8361,5558,3661
56400,8568,5487,3737
56500,8350,8040,4414
56600,8403,5607,4112
56700,8235,5534,3747
56800,8356,5530,3801
56900,8521,5580,3782
57000,8404,5714,3783
57100,8456,5674,3913
57200,8581,5651,3793
57300,8560,5640,3771
57400,8425,5438,3992
57500,8517,5492,3779
57600,10048,5545,3775
57700,8482,5488,3770
57800,8539,5612,3859
57900,8479,5560,3950
58000,8519,5553,3802
58100,8476,5801,3856
58200,8518,5623,3941
58300,9165,5802,3856
58400,8466,5616,3816
58500,8791,5691,3886
58600,8595,5654,3862
58700,8555,5629,3889
58800,8668,5689,3914
58900,8687,10997,4379
59000,8891,5657,3944
59100,8737,5862,4031
59200,8675,5854,4339
59300,8784,5885,3900
59400,8788,5651,3857
59500,8824,5656,3873
59600,8714,5726,3900
59700,8840,5772,3968
59800,8746,5634,3900
59900,8855,5723,3967
60000,8794,5640,4025
60100,8839,5703,4016
60200,8704,5680,4036
60300,8850,5758,4161
60400,8881,5738,4256
60500,8913,5854,4198
60600,9053,5946,4149
60700,8996,5897,4247
60800,9114,5937,4299
60900,9002,5820,4299
61000,8911,5876,4262
61100,8974,5781,4272
61200,8919,5716,4312
61300,8950,5796,4473
61400,9046,5875,4493
61500,9396,6063,4760
61600,9216,5970,4684
61700,9326,5993,4544
61800,9323,7250,4658
61900,9392,6065,4609
62000,9426,5999,4730
62100,9426,6059,4674
62200,9187,6046,4702
62300,9172,6095,4752
62400,9354,6061,4979
62500,9278,5968,4585
62600,9217,6052,4740
62700,9254,5926,4554
62800,9163,6115,4966
62900,9414,5904,4656
63000,9324,6146,4588
63100,9185,6054,4583
63200,9296,6066,4617
63300,9280,6214,4638
63400,9582,6345,4976
63500,9609,6172,4824
63600,9508,6158,4634
63700,9547,6219,4820
63800,9276,6043,4780
63900,9436,6218,4732
64000,9768,6362,4650
64100,9651,6149,4722
64200,9580,6493,4864
64300,9521,6160,4669
64400,9400,5984,4703
64500,9503,6186,4690
64600,9787,6255,5124
64700,9828,6621,4908
64800,9590,6202,4790
64900,9621,6248,4804
65000,9742,6406,4746
65100,9674,6129,4919
65200,9824,6491,4978
65300,9769,6368,8046
65400,9587,6150,4831
65500,9892,6474,4891
65600,9981,6604,4921
65700,9596,6391,5056
65800,9666,6349,4990
65900,9870,6714,4964
66000,9822,6515,8702
66100,9885,6607,5137
66200,10006,6425,5011
66300,9989,6496,5072
66400,9834,6521,4969
66500,9898,6547,5015
66600,10169,6713,5073
66700,9970,6957,5043
66800,9962,6682,5050
66900,10090,6542,5019
67000,10161,6740,4964
67100,10150,6804,5074
67200,10273,7004,5140
67300,10036,6736,5048
67400,9931,6557,5037
67500,9860,6483,5027
67600,9915,6704,5236
67700,10959,6703,4874
67800,9934,6859,4900
67900,10224,6834,5046
68000,10101,6841,5040
68100,10106,6606,4941
68200,10212,6963,5044
68300,9965,6877,4951
68400,10292,7103,5141
68500,10331,6787,4948
68600,10558,6926,5012
68700,10267,6800,4964
68800,10012,6723,5031
68900,10127,6880,5068
69000,10299,6978,5227
69100,10657,7097,5236
69200,10399,7032,5457
69300,10426,6822,5324
69400,10172,7257,5212
69500,10581,6972,5091
69600,10506,7724,5168
69700,10500,7192,5378
69800,10562,7318,5218
69900,10523,7073,5104
70000,10419,7599,5179
70100,10479,7151,5159
70200,10490,7289,5117
70300,10390,7174,5111
70400,10376,7198,5123
70500,10441,7120,5148
70600,10500,7169,5218
70700,10646,7219,5233
70800,10492,7316,5243
70900,10638,7339,5173
71000,10576,7378,5163
71100,10418,7328,5074
71200,10760,7285,5355
71300,10715,7449,5114
71400,10788,7505,5204
71500,10870,7513,5299
71600,10819,7388,5369
71700,10717,7337,5177
71800,11018,7340,5192
71900,10590,7785,5194
72000,10567,7495,5123
72100,10859,7785,5391
72200,10797,7371,5217
72300,10854,7555,5462
72400,11441,7345,5274
72500,10803,7441,5352
72600,10888,7692,5254
72700,10980,7431,5271
72800,11102,7729,5382
72900,10851,7505,5456
73000,10976,7560,5375
73100,11216,7456,5346
73200,11160,7576,5330
73300,11020,7551,5362
73400,11220,7741,5389
73500,11238,7834,5476
73600,11097,7889,5408
73700,11236,7650,5322
73800,10994,7761,5387
73900,10938,7922,5351
74000,11315,7684,5332
74100,11010,7573,5403
74200,11373,7781,5379
74300,11158,7751,5382
74400,11327,8186,5361
74500,11166,7861,5452
74600,11276,7917,5554
74700,11222,7958,5677
74800,11213,7932,5456
74900,11482,7759,5558
75000,11333,7893,5498
75100,11500,8030,5545
75200,11145,7800,5289
75300,12465,7981,5506
75400,11378,7884,5504
75500,11507,7945,5456
75600,11374,8121,5477
75700,11269,8143,5537
75800,11472,8112,5416
75900,11421,8205,5592
76000,11360,8114,5525
76100,11460,8222,6451
76200,11389,8169,5627
76300,11306,8061,5614
76400,11680,8174,5636
76500,11669,8141,5600
76600,11582,10085,5715
76700,11499,8100,5531
76800,11753,8216,5597
76900,11448,8657,5670
77000,11662,8178,5513
77100,11735,8326,5613
