Size,MergeSort,Hybrid5,Hybrid30
500,83,49,38
600,99,70,47
700,113,83,57
800,132,90,66
900,256,105,75
1000,169,114,92
1100,199,126,102
1200,215,154,113
1300,222,163,122
1400,240,182,132
1500,261,194,141
1600,281,204,154
1700,288,212,163
1800,321,238,179
1900,334,236,188
2000,352,261,210
2100,368,261,222
2200,392,285,234
2300,413,299,236
2400,431,318,240
2500,448,373,262
2600,453,350,266
2700,474,365,287
2800,510,390,300
2900,537,386,307
3000,535,398,310
3100,567,418,332
3200,587,429,352
3300,623,444,358
3400,622,459,365
3500,650,469,377
3600,714,472,387
3700,672,488,393
3800,700,505,406
3900,722,508,445
4000,811,537,518
4100,757,530,477
4200,792,583,538
4300,785,588,478
4400,851,609,494
4500,864,625,503
4600,858,658,506
4700,878,691,588
4800,929,712,538
4900,897,696,553
5000,917,795,584
5100,972,811,561
5200,1002,791,585
5300,979,775,602
5400,1045,795,623
5500,1046,797,625
5600,1089,857,617
5700,1107,828,638
5800,1127,907,664
5900,1168,877,660
6000,1109,885,688
6100,1146,937,705
6200,1193,920,736
6300,1218,939,721
6400,1190,908,733
6500,1213,926,758
6600,1234,1000,810
6700,1260,1001,760
6800,1374,968,814
6900,1341,974,788
7000,1342,991,829
7100,1407,984,854
7200,1433,1001,833
7300,1394,1065,852
7400,1442,1077,896
7500,1456,1045,894
7600,1462,1087,899
7700,1498,1182,996
7800,1555,1120,924
7900,1509,1157,941
8000,1543,1118,972
8100,1571,1186,978
8200,1574,1187,992
8300,1571,1216,1002
8400,1636,1222,1020
8500,1655,1266,1026
8600,1653,1253,1030
8700,1697,1251,1039
8800,1701,1309,1083
8900,1788,1318,1087
9000,1720,1326,1144
9100,1853,1385,1125
9200,2022,1431,1133
9300,1869,1422,1156
9400,1853,1432,1185
9500,1903,1448,1177
9600,1966,1529,1199
9700,1951,1462,1193
9800,1928,1491,1210
9900,1961,1564,1269
10000,1988,1582,1232
10100,2047,1639,1292
10200,2086,1689,1270
10300,2046,1616,1283
10400,2099,2096,1302
10500,2163,1635,1281
10600,2047,1668,1306
10700,2156,1652,1367
10800,2154,1663,1331
10900,2188,1738,1336
11000,2219,1707,1353
11100,2190,1719,1339
11200,2294,1802,1366
11300,2270,1718,1379
11400,2337,1750,1409
11500,2336,1768,1424
11600,2343,1875,1419
11700,2375,1787,1450
11800,2422,1872,1580
11900,2390,1853,1489
12000,2455,1831,1509
12100,2460,1885,1558
12200,2449,1897,1576
12300,2478,1916,1564
12400,2470,1931,1586
12500,2591,2006,1614
12600,2572,2044,1588
12700,2600,2190,1624
12800,2609,2026,1644
12900,2629,2007,1637
13000,2654,2214,1651
13100,2667,2076,1703
