Size,MergeSort,Hybrid5,Hybrid30
500,62,34,25
600,73,46,29
700,91,59,37
800,99,59,41
900,110,64,50
1000,125,71,51
1100,135,82,59
1200,157,104,66
1300,165,112,70
1400,187,119,81
1500,191,121,87
1600,202,125,97
1700,222,132,104
1800,232,145,117
1900,240,143,116
2000,270,147,115
2100,261,164,117
2200,291,167,126
2300,291,183,136
2400,297,195,138
2500,318,218,146
2600,317,215,149
2700,361,246,169
2800,361,235,172
2900,366,239,182
3000,369,238,183
3100,408,267,209
3200,407,255,207
3300,423,265,223
3400,445,270,222
3500,458,290,245
3600,492,275,237
3700,495,286,246
3800,545,285,244
3900,530,318,242
4000,594,318,239
4100,514,306,248
4200,530,457,256
4300,544,337,262
4400,553,357,289
4500,607,371,265
4600,610,370,300
4700,608,401,289
4800,624,401,296
4900,628,411,300
5000,636,428,317
5100,650,474,320
5200,664,484,320
5300,687,460,331
5400,725,471,347
5500,703,459,358
5600,713,464,353
5700,771,473,361
5800,777,497,375
5900,747,523,378
6000,790,502,392
6100,826,522,417
6200,795,506,418
6300,808,517,417
6400,807,522,431
6500,828,562,436
6600,856,555,453
6700,866,570,471
6800,878,622,482
6900,918,592,574
7000,906,558,488
7100,923,593,499
7200,960,572,502
7300,976,585,510
7400,1000,642,587
7500,991,635,524
7600,986,597,496
7700,1035,678,479
7800,1008,620,527
7900,1113,626,504
8000,1090,657,518
8100,1075,678,547
8200,1054,666,515
8300,1119,654,535
8400,1085,730,551
8500,1122,680,554
8600,1101,697,548
8700,1160,735,554
8800,1136,781,561
8900,1175,780,577
9000,1416,777,648
9100,1352,872,680
9200,1256,819,602
9300,1256,847,622
9400,1284,854,634
9500,1277,852,654
9600,1298,867,654
9700,1292,932,664
9800,1276,872,652
9900,1286,898,709
10000,1310,913,660
10100,1406,942,694
10200,1391,923,707
10300,1367,962,701
10400,1369,988,716
10500,1410,990,732
10600,1413,990,734
10700,1443,1016,745
10800,1458,1003,771
10900,1486,1040,761
11000,1463,1004,774
11100,1476,1020,806
11200,1534,1055,819
11300,1561,1037,806
11400,1574,1077,824
11500,1575,1051,824
11600,1559,1077,833
11700,1593,1089,853
11800,1617,1141,864
11900,1634,1101,922
12000,1684,1093,877
12100,1627,1082,833
12200,1633,1072,866
12300,1658,1080,877
12400,1676,1118,908
12500,1691,1089,927
12600,1702,1098,893
12700,1699,1099,903
12800,1703,1162,919
12900,1694,1198,929
13000,1891,1143,927
13100,1771,1152,1007
13200,1734,1204,961
13300,1834,1213,972
13400,1840,1207,985
13500,1802,1179,995
13600,1815,1169,1016
13700,1874,1287,993
13800,1875,1201,1021
13900,1942,1194,1043
14000,1916,1239,1049
14100,2012,1256,1065
14200,1959,1280,1054
14300,1995,1253,1100
14400,1977,1273,1116
14500,2049,1296,1144
14600,2060,1302,1137
