stream_size,B,step_index,processed_pct,Ft,Nt
100000,6,1,10,10000,9853.01
100000,6,2,20,20000,20033.8
100000,6,3,30,30000,30441.6
100000,6,4,40,40000,42768.7
100000,6,5,50,50000,51885.9
100000,6,6,60,60000,66399.2
100000,6,7,70,70000,76547.4
100000,6,8,80,80000,83389.4
100000,6,9,90,90000,86399
100000,6,10,100,100000,104068
100000,8,1,10,10000,10374.3
100000,8,2,20,20000,20171
100000,8,3,30,30000,29174.9
100000,8,4,40,40000,39283.8
100000,8,5,50,50000,48732.4
100000,8,6,60,60000,59741.6
100000,8,7,70,70000,68079.1
100000,8,8,80,80000,77827.7
100000,8,9,90,90000,87306.5
100000,8,10,100,100000,96547.3
100000,10,1,10,10000,10389.3
100000,10,2,20,20000,19561.1
100000,10,3,30,30000,31153
100000,10,4,40,40000,40535.1
100000,10,5,50,50000,51010
100000,10,6,60,60000,59757.8
100000,10,7,70,70000,69077.9
100000,10,8,80,80000,80283
100000,10,9,90,90000,88893.8
100000,10,10,100,100000,100508
100000,12,1,10,10000,10273.9
100000,12,2,20,20000,20072.9
100000,12,3,30,30000,30270.1
100000,12,4,40,40000,40535.4
100000,12,5,50,50000,50109.7
100000,12,6,60,60000,60208.9
100000,12,7,70,70000,70076.7
100000,12,8,80,80000,80061.2
100000,12,9,90,90000,89510.2
100000,12,10,100,100000,99617.5
300000,6,1,10,30000,25780.9
300000,6,2,20,60000,46736
300000,6,3,30,90000,71948.1
300000,6,4,40,120000,113034
300000,6,5,50,150000,136946
300000,6,6,60,180000,158370
300000,6,7,70,210000,207830
300000,6,8,80,239999,239172
300000,6,9,90,269999,253846
300000,6,10,100,299999,294272
300000,8,1,10,30000,29516
300000,8,2,20,60000,53894.9
300000,8,3,30,90000,85957.7
300000,8,4,40,120000,125000
300000,8,5,50,150000,164850
300000,8,6,60,180000,201292
300000,8,7,70,210000,232937
300000,8,8,80,239999,259595
300000,8,9,90,269999,293924
300000,8,10,100,299999,323074
300000,10,1,10,30000,29132.5
300000,10,2,20,60000,56809
300000,10,3,30,90000,86101.2
300000,10,4,40,120000,117907
300000,10,5,50,150000,149310
300000,10,6,60,180000,182021
300000,10,7,70,210000,215400
300000,10,8,80,239999,249126
300000,10,9,90,269999,289009
300000,10,10,100,299999,324433
300000,12,1,10,30000,29569.5
300000,12,2,20,60000,57935.5
300000,12,3,30,90000,87147.3
300000,12,4,40,120000,115938
300000,12,5,50,150000,145293
300000,12,6,60,180000,176928
300000,12,7,70,210000,208382
300000,12,8,80,239999,237125
300000,12,9,90,269999,268098
300000,12,10,100,299999,299958
600000,6,1,10,60000,64856.3
600000,6,2,20,120000,119963
600000,6,3,30,180000,158799
600000,6,4,40,240000,216397
600000,6,5,50,300000,291010
600000,6,6,60,360000,371720
600000,6,7,70,420000,410174
600000,6,8,80,480000,478193
600000,6,9,90,539999,533859
600000,6,10,100,599998,608783
600000,8,1,10,60000,56515
600000,8,2,20,120000,123091
600000,8,3,30,180000,166588
600000,8,4,40,240000,217319
600000,8,5,50,300000,267652
600000,8,6,60,360000,316731
600000,8,7,70,420000,387947
600000,8,8,80,480000,466287
600000,8,9,90,539999,522254
600000,8,10,100,599998,569482
600000,10,1,10,60000,58819.9
600000,10,2,20,120000,113272
600000,10,3,30,180000,168383
600000,10,4,40,240000,232523
600000,10,5,50,300000,296750
600000,10,6,60,360000,346745
600000,10,7,70,420000,406115
600000,10,8,80,480000,473911
600000,10,9,90,539999,530726
600000,10,10,100,599998,580816
600000,12,1,10,60000,58884.8
600000,12,2,20,120000,114825
600000,12,3,30,180000,171220
600000,12,4,40,240000,228147
600000,12,5,50,300000,288795
600000,12,6,60,360000,345563
600000,12,7,70,420000,407483
600000,12,8,80,480000,475126
600000,12,9,90,539999,532948
600000,12,10,100,599998,594317
